LINE_ID,PRIVATE_LA,PGMN_WELL,CONS_AUTHO,COUNTY,TOWNSHIP,LOT,CONCESSION,AQUIFER_TY,AQUIFER_LI,STRATIGRAP,STRATI_DES,NO_RECORD,WELL_DEPTH,WEL_PIEZOM,SCREEN_HOL,lat,lon,ELVA_GROUN,SITE_ID
80,NOT PRIVATE LAND,W0000053-1,UPPER THAMES RIVER C.A.,OXFORD COUNTY,DORCHESTER,LOT 21,CON 1,BEDROCK,LIMESTONE,4701959,N/A,N/A,76.81,15.24,OPEN HOLE: 27.7M-76.8M,43.05598,-81.004605,290.19,53
81,NOT PRIVATE LAND,W0000279-1,CATARAQUI REGION C.A.,LEEDS AND GRENVILLE UNITED COUNTIES,BROCKVILLE,LOT 13,CON 3,BEDROCK,BLACK AND GREY SANDSTONE,3615798,N/A,N/A,18.6,15.88,OPEN HOLE: 6.1 M - 18.6M,44.61661,-75.721296,109.11,279
82,NOT PRIVATE LAND,W0000400-2,MISSISSIPPI VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,WEST CARLETON,LOT 1,CON 3,OVERBURDEN,SAND,1534287,N/A,N/A,16.8,15.88,SCREEN: 4.5 - 5.12 M,45.4207,-76.02409,62.67,400
83,NOT PRIVATE LAND,W0000276-2,MAITLAND VALLEY C.A.,WELLINGTON COUNTY,ARTHUR,LOT 13,WEST SIDE OWEN SOUND ROAD,OVERBURDEN,"SAND, GRAVEL",N/A,"SAND, GRAVEL - 5.18M",N/A,5.18,5.08,SCREEN: 3.96M-5.18M,43.92209,-80.679057,439.58,276
84,NOT PRIVATE LAND,W0000028-2,CREDIT VALLEY CONSERVATION,HALTON REGIONAL MUNICIPALITY,ESQUESING,LOT 20,CON 7,OVERBURDEN,"GRAVEL, SAND",2808070,N/A,N/A,6.71,3.81,SCREEN: 5.2M-6.7M,43.64408,-79.95276,279.44,28
85,NOT PRIVATE LAND,W0000315-1,MAITLAND VALLEY C.A.,HURON COUNTY,ASHFIELD,LOT 42,CON FRONT NORTH OF TOWN PLOT,BEDROCK,LIMESTONE,3004744,N/A,N/A,62.48,15.88,OPEN HOLE: 56.1M-62.5M,44.03778,-81.737676,188.54,315
86,NOT PRIVATE LAND,W0000184-1,LOWER THAMES VALLEY C.A.,MIDDLESEX COUNTY,CARADOC,LOT 16,RANGE NORTH OF ROAD,OVERBURDEN,SAND,4106020,N/A,N/A,6.71,167.64,CONCRETE TILE: 6.71M - 6.71M,42.88455,-81.480304,240.99,184
87,PRIVATE LAND,W0000185-1,LOWER THAMES VALLEY C.A.,ELGIN COUNTY,DUNWICH,LOT 22,CON 10,OVERBURDEN,SAND,2003781,N/A,N/A,42.98,12.7,SCREEN: 39.6M-42.1M,0,0,212.05,185
88,PRIVATE LAND,W0000092-1,RAISIN REGION C.A.,"STORMONT, DUNDAS AND GLENGARRY UNITED COUNTIES",LOCHIEL,LOT 13,CON 7,OVERBURDEN,SAND AND GRAVEL,2300848,N/A,N/A,17.9,12.95,OPEN AT END OF CASING,0,0,77.98,92
89,PRIVATE LAND,W0000093-1,RAISIN REGION C.A.,"STORMONT, DUNDAS AND GLENGARRY UNITED COUNTIES",ROXBOROUGH,LOT 12,CON 2,BEDROCK,LIMESTONE,5802108,N/A,N/A,25.9,15.88,OPEN HOLE: 13.1 - 25.9 M,0,0,107.78,93
90,NOT PRIVATE LAND,W0000259-2,GANARASKA REGION C.A.,NORTHUMBERLAND COUNTY,HOPE,LOT 3,CON 2,OVERBURDEN,"CLAY, SAND, SILT AND GRAVEL",4513209,N/A,N/A,10.69,5.08,SCREEN: 7.21 -  10.69M,43.97337,-78.28885,101.55,259
91,NOT PRIVATE LAND,W0000347-2,GRAND RIVER C.A.,DUFFERIN COUNTY,MELANCTHON,LOT 260,CON 2,OVERBURDEN,"SANDY CLAY, SAND",1706040,N/A,N/A,6.4,6.05,SCREEN: 3.05M-6.1M,44.15295,-80.311622,508.216,347
92,NOT PRIVATE LAND,W0000246-1,SAUGEEN VALLEY C.A.,GREY COUNTY,BENTINCK,LOT 40,CON 3,BEDROCK,ROCK (DESCRIPTION BY DRILLER),2502792,N/A,N/A,36.58,10.8,OPEN HOLE: 32.2M-36.6M,44.14809,-80.928202,294.64,246
93,NOT PRIVATE LAND,W0000285-1,AUSABLE BAYFIELD C.A.,MIDDLESEX COUNTY,WILLIAMS,LOT 1,CON 20,OVERBURDEN,"SILT, SAND, GRAVEL",4115201,N/A,N/A,11.28,5.08,SCREEN: 8.2M-11.3M,43.15967,-81.658179,214.1,285
94,NOT PRIVATE LAND,W0000286-1,AUSABLE BAYFIELD C.A.,LAMBTON COUNTY,BOSANQUET,LOT 3,ABUTTING ON SOUTHERN BOUNDARY,OVERBURDEN,"SILTY SAND, GRAVEL",3408501,N/A,N/A,5.03,5.08,SCREEN: 3.5M-5.0M,43.08438,-81.821579,216.2,286
95,NOT PRIVATE LAND,W0000001-1,CONSERVATION HALTON,HALTON REGIONAL MUNICIPALITY,NELSON,LOT 10,CON 2,BEDROCK,DOLOSTONE,2809356,N/A,N/A,6.3,5.08,SCREEN: 3.2M-6.1M,43.42459,-79.94452,261.274,1
96,NOT PRIVATE LAND,W0000002-1,HAMILTON REGION C.A.,HAMILTON CITY,WEST FLAMBOROUGH,LOT 9,CON 2,BEDROCK,DOLOSTONE,6813533,N/A,N/A,23.2,15.88,OPEN HOLE: 10.7M-23.2M,43.28354,-79.990803,242.831,2
97,NOT PRIVATE LAND,W0000003-1,CONSERVATION HALTON,HALTON REGIONAL MUNICIPALITY,NASSAGAWEYA,LOT 24,CON 1,OVERBURDEN,"SAND, GRAVEL",2801739,N/A,N/A,15.54,15.88,SLOTTED PIPE: 7.6M-14.6M,43.53684,-80.107003,346.766,3
98,NOT PRIVATE LAND,W0000262-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,OSHAWA,LOT 10,CON 7,OVERBURDEN,GREY-BEIGE FINE SAND,1916295,N/A,N/A,28.63,6.05,SCREEN: 17.68 - 18.9M,43.98657,-78.902518,207.99,262
99,NOT PRIVATE LAND,W0000004-1,CONSERVATION HALTON,HALTON REGIONAL MUNICIPALITY,ESQUESING,LOT 3,CON 5,OVERBURDEN,"SILT, SAND, GRAVEL",2809357,N/A,N/A,72.08,5.08,SCREEN: 67.5M-72.2M,43.55075,-79.889273,213.972,4
100,NOT PRIVATE LAND,W0000276-3,MAITLAND VALLEY C.A.,WELLINGTON COUNTY,ARTHUR,LOT 13,WEST SIDE OWEN SOUND ROAD,BEDROCK,SHALE,N/A,"SAND, GRAVEL - 5.85M; STONY SILTY SAND TILL - 7.45M; SHALE - 9.15M",N/A,8.84,5.08,SCREEN: 8.2M-8.8M,43.92207,-80.679007,439.65,276
101,PRIVATE LAND,W0000277-1,NORTH BAY-MATTAWA C.A.,NIPISSING DISTRICT,WIDDIFIELD,LOT 20,CON 2,OVERBURDEN,LIGHT GREY COARSE SAND WITH GRAVEL,N/A,"TW-14 - AGRA EARTH & ENVIRONMENTAL GROUP, SEPT 1992: SAND - 10.05M","4305324, 4301275, 4301276",10,5.08,SCREEN: 7M -10M,0,0,350.86,277
102,NOT PRIVATE LAND,W0000025-1,LAKE SIMCOE REGION C.A.,YORK REGIONAL MUNICIPALITY,EAST GWILLIMBURY,LOT 25,CON 3,OVERBURDEN,"SILT, SAND, GRAVEL",6925785,N/A,N/A,10.7,5.5,SCREEN: 6.1M-9.12M,44.153,-79.454016,241.31,25
103,NOT PRIVATE LAND,W0000159-2,QUINTE CONSERVATION,PRINCE EDWARD COUNTY,HALLOWELL,LOT 21,CON 1,INTERFACE,CLAY AND SHALEY LIMESTONE,5307083,N/A,N/A,5.5,15.88,OPEN AT END OF CASING,44.00511,-77.124093,109.4,159
104,PRIVATE LAND,W0000234-1,AUSABLE BAYFIELD C.A.,LAMBTON COUNTY,BOSANQUET,LOT 20,LAKE ROAD EAST,OVERBURDEN,SAND,3407685,N/A,N/A,9.75,13.97,SCREEN: 4.57M-9.8M,0,0,182.99,234
105,PRIVATE LAND,W0000175-3,RIDEAU VALLEY C.A.,OTTAWA-CARLETON REGIONAL MUNICIPALITY,GOULBOURN,LOT 11,CON 9,BEDROCK,GREY LIMESTONE,1530346,N/A,N/A,26,3.18,OPEN HOLE: 17.5 - 26 M,0,0,139.88,175
106,NOT PRIVATE LAND,W0000263-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,WHITBY,LOT 32,CON 5,OVERBURDEN,"BEIGE, FINE TO MEDIUM SAND",1916117,N/A,N/A,7.32,6.35,SCREEN: 6.50 - 7.32M,43.93483,-78.997083,142.67,263
107,NOT PRIVATE LAND,W0000265-2,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,CLARINGTON,LOT 13,CON 9,OVERBURDEN,FINE TO MEDIUM SAND,1916293,N/A,N/A,141.79,6.35,SCREEN: 122.2 - 125.3M,44.05286,-78.758951,292.08,265
108,NOT PRIVATE LAND,W0000282-3,SOUTH NATION CONSERVATION,OTTAWA-CARLETON REGIONAL MUNICIPALITY,CUMBERLAND,LOT 13,FIRST CON FROM THE OTTAWA RIVER,BEDROCK,DOLOMITE,N/A,"BH: 1 GOLDER ASSOCIATES, JULY 2001:SAND AND GRAVEL TO 1.7M; DOLOMITE TO 44M",N/A,44,15,SCREEN: 42 M - 44 M,45.51466,-75.401669,72.62,282
109,NOT PRIVATE LAND,W0000283-1,LAKE SIMCOE REGION C.A.,YORK REGIONAL MUNICIPALITY,WHITCHURCH,LOT 79,CON 1,OVERBURDEN,CLAYEY SILT,6927044,N/A,N/A,27.43,5.08,SCREEN: 24.38M-27.43M,43.99448,-79.457186,270.78,283
110,NOT PRIVATE LAND,W0000287-1,NIAGARA PENINSULA C.A.,HALDIMAND-NORFOLK REGIONAL MUNICIPALITY,CAYUGA,LOT 5,CON 1,BEDROCK,SHALE,N/A,CLAYEY SILT - 2.1M; SILTY CLAY - 5.9M; CLAY - 13.7M; SILTY SAND - 16.5M; SHALE - 19.6M; DOLOSTONE - 20.0M,N/A,19.7,5.08,SCREEN: 18.4M-19.7M,42.99769,-79.737486,189.97,287
111,NOT PRIVATE LAND,W0000298-3,LAKE SIMCOE REGION C.A.,YORK REGIONAL MUNICIPALITY,GEORGINA,LOT 2,CON 3,OVERBURDEN,"GRAVEL, TILL, COBBLES",6927046,N/A,N/A,30.48,7.62,SCREEN: 27.43M-30.48M,44.26262,-79.336001,228.88,298
112,NOT PRIVATE LAND,W0000298-4,LAKE SIMCOE REGION C.A.,YORK REGIONAL MUNICIPALITY,GEORGINA,LOT 2,CON 3,BEDROCK,SHALE,6927045,N/A,N/A,32,5.08,SCREEN: 28.96M-32.0M,44.26262,-79.336001,228.88,298
113,PRIVATE LAND,W0000356-2,NIAGARA PENINSULA C.A.,NIAGARA REGIONAL MUNICIPALITY,STAMFORD,LOT 17,N/A,OVERBURDEN,"SAND, GRAVEL",6603734,N/A,N/A,31.5,4.78,N/A-  TO BE DETERMINED,0,0,187.34,356
114,NOT PRIVATE LAND,W0000334-1,CATARAQUI REGION C.A.,LEEDS AND GRENVILLE UNITED COUNTIES,REAR OF LEEDS AND LANSDOWNE,LOT 20,CON 10,BEDROCK,RED AND BLACK GRANITE,3615810,N/A,N/A,30.8,15.88,OPEN HOLE: 6.1 - 30.8M,44.53234,-76.154959,119.81,334
115,NOT PRIVATE LAND,W0000463-1,LAKEHEAD REGION C.A.,THUNDER BAY DISTRICT,"THUNDER BAY, UNORGANIZED",LOT 7,CON 3,OVERBURDEN,BLACK GRAVEL,6107457,N/A,N/A,23.8,15.88,OPEN HOLE AT END OF CASING 21.9 - 23.8M,48.63157,-88.764926,329.14,463
116,NOT PRIVATE LAND,W0000321-1,AUSABLE BAYFIELD C.A.,HURON COUNTY,HAY,LOT 21,CON 8,OVERBURDEN,SANDY SILT,3007468,N/A,N/A,11.28,5.08,SCREEN: 8.2M-11.3M,43.42532,-81.593719,249.34,321
117,NOT PRIVATE LAND,W0000328-1,TORONTO AND REGION C.A.,PEEL REGIONAL MUNICIPALITY,CALEDON,LOT 23,CON 6,BEDROCK,LIMESTONE,N/A,"SAND, GRAVEL - 2.4M; GRAVEL - 8.8M; CLAY - 11.0M; SHALE - 13.7M; LIMESTONE - 29.1M",N/A,29.1,20.96,OPEN HOLE: 11.0M-29.1M,43.94566,-79.974983,423.11,328
118,NOT PRIVATE LAND,W0000041-1,CENTRAL LAKE ONTARIO C.A.,DURHAM REGIONAL MUNICIPALITY,DARLINGTON,LOT 18,CON 5,INTERFACE,SAND-GRAVEL /LIMESTONE INTERFACE,1904189,N/A,N/A,46.6,15.24,OPEN AT END OF CASING,43.96447,-78.745164,165.63,41
119,NOT PRIVATE LAND,W0000325-1,TORONTO AND REGION C.A.,TORONTO CITY,YORK,LOT 38,CON 1,OVERBURDEN,SILTY DIAMICT,N/A,"FILL - 3.5M; SILT - 8.6M; SILTY TILL - 10.4M; SAND - 10.5M; SILTY DIAMICT - 12.5M; LIMESTONE, SHALE - 14.0M",N/A,14,6.05,SCREEN: 9.5M-12.5M,43.64953,-79.470494,78.32,325
120,NOT PRIVATE LAND,W0000326-2,TORONTO AND REGION C.A.,DURHAM REGIONAL MUNICIPALITY,PICKERING,LOT 24,CON 3,OVERBURDEN,SANDY SILT,1912072,N/A,N/A,3.05,5.08,SCREEN: 1.3M-2.9M,43.87708,-79.11851,174.77,326
121,NOT PRIVATE LAND,W0000361-3,NIAGARA PENINSULA C.A.,NIAGARA REGIONAL MUNICIPALITY,PELHAM,LOT 10,CON 6,OVERBURDEN,"SILTY SAND, GRAVEL",N/A,"SILTY SAND - 15.4M; SANDY SILT - 15.5M; CLAYEY SILT - 15.6M; SILTY SAND - 16.2M; SILT CLAY TILL - 19.6M; SILTY SAND - 20.0M; SILTY CLAY TILL - 21.1M; SANDY SILT - 22.1M; SILTY CLAY TILL - 27.5M; SILTY SAND, GRAVEL - 31.7M",N/A,31.4,5.08,SCREEN: 30.1M-31.4M,43.05608,-79.330615,216.25,361
122,NOT PRIVATE LAND,W0000464-1,LAKEHEAD REGION C.A.,THUNDER BAY DISTRICT,"THUNDER BAY, UNORGANIZED",LOT 11,CON 5,BEDROCK,GREY GRANITE,6107456,N/A,N/A,65.5,15.88,OPEN HOLE: 61 - 65.5M,48.58765,-89.29566,447.76,464
123,NOT PRIVATE LAND,W0000326-3,TORONTO AND REGION C.A.,DURHAM REGIONAL MUNICIPALITY,PICKERING,LOT 24,CON 3,OVERBURDEN,"SILT, SAND",1912072,N/A,N/A,39.75,5.08,SCREEN: 38.0M-39.5M,43.87708,-79.11851,174.77,326
124,PRIVATE LAND,W0000327-3,TORONTO AND REGION C.A.,PEEL REGIONAL MUNICIPALITY,ALBION,LOT 10,CON 5,OVERBURDEN,"SAND, SILT",4907845,N/A,N/A,39.83,3.18,N/A-  TO BE DETERMINED,0,0,261.77,327
125,NOT PRIVATE LAND,W0000327-4,TORONTO AND REGION C.A.,PEEL REGIONAL MUNICIPALITY,ALBION,LOT 10,CON 5,OVERBURDEN,"SAND, SILT",4907845,N/A,N/A,96.62,4.78,SCREEN: 79.9M-87.1M,43.87603,-79.75726,261.77,327
126,NOT PRIVATE LAND,W0000117-2,KAWARTHA REGION C.A.,VICTORIA COUNTY,MANVERS,LOT 11,CON 7,OVERBURDEN,CLAY WITH LAYERS OF SILT AND SAND,6414902,N/A,N/A,55,5.08,SCREEN: 52-55M,44.15881,-78.65947,329.88,117
127,NOT PRIVATE LAND,W0000296-1,HAMILTON REGION C.A.,HAMILTON CITY,BEVERLY,LOT 28,CON 8,BEDROCK,DOLOSTONE,6813991,N/A,N/A,11.8,5.08,SCREEN: 10.48M-12.0M,43.36596,-80.108205,268.012,296
128,NOT PRIVATE LAND,W0000322-1,AUSABLE BAYFIELD C.A.,MIDDLESEX COUNTY,LONDON,LOT 32,CON 13,OVERBURDEN,"GRAVEL, SAND",4115200,N/A,N/A,8.84,5.08,SCREEN: 5.2M-8.2M,43.09045,-81.436645,267.83,322
129,PRIVATE LAND,W0000076-1,UPPER THAMES RIVER C.A.,PERTH COUNTY,NISSOURI,LOT 36,CON 11,BEDROCK,LIMESTONE,N/A,N/A,4708251,25.8,9.52,OPEN HOLE,0,0,339.68,76
130,PRIVATE LAND,W0000216-2,RAISIN REGION C.A.,"STORMONT, DUNDAS AND GLENGARRY UNITED COUNTIES",LANCASTER,LOT 18,CON 7,OVERBURDEN,TILL,2305289,N/A,N/A,5.8,5.08,SCREEN: 3.0 - 4.6 M,0,0,62.95,216
131,NOT PRIVATE LAND,W0000217-2,UPPER THAMES RIVER C.A.,MIDDLESEX COUNTY,LONDON,LOT 25,CON 1,OVERBURDEN,SAND,N/A,CLAYEY SILT - 3.2M; SAND - 4.11M; CLAYEY SILT - 5.03M; SAND - 11.58M,N/A,11.58,5.08,SCREEN: 9.75M-11.28M,42.97309,-81.326928,260.88,217
132,NOT PRIVATE LAND,W0000213-1,LOWER TRENT REGION C.A.,HASTINGS COUNTY,SIDNEY,LOT 19,CON 7,OVERBURDEN,GRAVEL,2919771,N/A,N/A,45,15.88,OPEN HOLE AT END OF CASING,44.2484,-77.54007,198.6,213
133,NOT PRIVATE LAND,W0000214-1,LOWER TRENT REGION C.A.,NORTHUMBERLAND COUNTY,CRAMAHE,LOT 9,CON 7,OVERBURDEN,GRAVEL,4513331,N/A,N/A,11.16,15.88,OPEN HOLE AT END OF CASINGSCREEN: 8.12~11.16M,44.12793,-77.81748,141.27,214
134,NOT PRIVATE LAND,W0000215-1,LONG POINT REGION C.A.,OXFORD COUNTY,NORWICH,LOT 27,CON 9,BEDROCK,LIMESTONE,4702076,N/A,N/A,37.34,16.51,OPEN HOLE: 33.6M-37.5M,42.89964,-80.701057,249.2,215
135,PRIVATE LAND,W0000029-1,CREDIT VALLEY CONSERVATION,WELLINGTON COUNTY,ERIN,LOT 12,CON 10,OVERBURDEN,SILTY SAND,6713770,N/A,N/A,12.5,5.08,SCREEN: 9.5M-12.5M,0,0,400,29
136,NOT PRIVATE LAND,W0000075-1,TORONTO AND REGION C.A.,YORK REGIONAL MUNICIPALITY,VAUGHAN,LOT 19,CON 7,OVERBURDEN,"GRAVEL, SAND",6921815,N/A,N/A,35.97,5.08,SCREEN: 33.8M-35.4M,43.83298,-79.591562,206,75
137,PRIVATE LAND,W0000414-1,SAULT STE. MARIE REGION C.A.,ALGOMA DISTRICT,KORAH,SEC 31,N/A,OVERBURDEN,"SAND,  GRAVEL AND STONE",1107212,N/A,N/A,38.1,15.88,SCREEN: 36.9 - 38.1M,0,0,199.99,414
