PGMN_WELL	SampleDate	SampleNumber	LabName	Ionbalance	Comments
W0000010-1	2005-01-12	45509	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; Calcium, Magnesium suspect
W0000010-1	2006-11-15	72390	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Anions missing; Calcium, Magnesium inconsistent with other results
W0000010-1	2007-11-14	V91870	Maxxam Analytics Inc 	1.24	Error with Well ID (the analytical results belong to W0000011-1).
W0000010-1	2008-10-07	C163458-0001	MOE	4.3	Error with Well ID (the analytical results belong to W0000011-1).
W0000010-1	2009-10-22	C172299-0001	MOE	4.6	
W0000010-1	2010-10-27	C181210-0001	MOE	1.7	
W0000010-1	2011-11-07	C190132-0001	MOE	2.7	
W0000010-1	2012-11-12	C198913-0001	MOE	3.8	
W0000010-1	2013-11-20	C208110-0001	MOE	1.4	
W0000010-1	2014-10-15	C215534-0001	MOE	15.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000010-1	2015-11-26	C225830-0001	MOE	14.0	Ionic balance > 5%, use with caution; Alkalinity suspect
W0000011-1	2002-07-24	C96276-0002	MOE	390.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Magnesium suspect; METALS suspect
W0000011-1	2004-10-26	41422	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; METALS suspect
W0000011-1	2005-01-10	45332	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; Alkalinity suspect
W0000011-1	2009-10-26	C172361-0001	MOE	4.9	
W0000011-1	2010-10-27	C181211-0001	MOE	10.0	
W0000011-1	2011-11-04	C190118-0001	MOE	6.1	
W0000011-1	2012-11-12	C198913-0002	MOE	5.9	
W0000011-1	2013-11-18	C208008-0001	MOE	4.2	
W0000011-1	2014-10-14	C215445-0001	MOE	1.0	
W0000011-1	2015-10-08	C224137-0001	MOE	0.71	
W0000012-1	2003-06-12	C105967-0001	MOE	9.9	Ionic balance > 5%, use with caution; METALS suspect
W0000012-1	2003-10-06	C109899-0001	MOE	6.4	
W0000012-1	2004-10-26	41423	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing
W0000012-1	2005-01-12	45510	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing
W0000012-1	2009-11-09	C172781-0001	MOE	18.0	Ionic balance > 5%, use with caution;
W0000013-1	2002-12-18	C101242-0001	MOE	6.4	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000013-1	2009-10-27	C172487-0003	MOE	2.4	
W0000013-1	2013-11-14	C207980-0001	MOE	0.47	
W0000014-1	2003-09-10	C109009-0001	MOE	4.3 	Aluminum suspect;
W0000014-1	2006-11-28	P83432	Maxxam Analytics Inc 	3.79 	 
W0000014-1	2007-11-08	V79375	Maxxam Analytics Inc 	1.32 	 
W0000014-1	2008-11-12	C164508-0003	MOE	2 	
W0000014-1	2009-10-27	C172487-0004	MOE	2.5 	
W0000014-1	2010-12-02	C182077-0001	MOE	 [ NDID  ] 	
W0000014-1	2011-12-06	C190989-0001	MOE		
W0000014-1	2012-12-12	C199765-0001	MOE	150	Ionic balance > 40%, use with caution; Sulphare suspect
W0000014-1	2013-12-11	C208599-0001	MOE	5.3	
W0000014-1	2014-12-10	C216965-0001	MOE	3.8	
W0000014-1	2015-12-07	C226096-0001	MOE	26	Ionic balance > 10%, use with caution; Sulphate inconsistent with other results
W0000015-1	2002-10-23	C99452-0001	MOE	4.5	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000015-1	2009-10-28	C172485-0002	MOE	0.43	Use with caution - Inconsistent with other results
W0000016-3	2002-11-21	C100326-0001	MOE	3.2	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000016-3	2009-10-28	C172485-0001	MOE	1.2	
W0000017-2	2003-03-28	C103587-0001	MOE	0.54	Incomplete General Chemistry - Alkalinity/Nutrients missing; Inconsistent with other results
W0000017-2	2004-10-05	40402	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing
W0000017-2	2004-12-06	44154	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Anions missing; Calcium, Magnesium inconsistent with other results
W0000017-2	2007-11-14	V91869	Maxxam Analytics Inc 	0.52	Use with caution - Inconsistent with other results
W0000018-1	2003-05-28	C105343-0001	MOE	5.0	
W0000018-1	2006-09-20	O36888	Maxxam Analytics Inc 		
W0000018-1	2007-09-24	U84298	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution; Sulphate inconsistent
W0000018-1	2008-05-13	Y60072	Maxxam Analytics Inc 	0.26	
W0000018-1	2008-09-29	C163250-0001	MOE	14.0	Ionic balance > 5%, use with caution; Sulphate inconsistent
W0000018-1	2009-09-30	C171560-0001	MOE	0.94	
W0000018-1	2010-09-29	C180332-0001	MOE	4.4	
W0000018-1	2011-09-29	C188979-0001	MOE	11.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000018-1	2012-10-01	C197715-0001	MOE	5.3	
W0000018-1	2013-09-30	C206509-0001	MOE	0.25	
W0000018-1	2014-09-29	C214988-0001	MOE	6.5	
W0000018-1	2015-10-05	C223978-0001	MOE	0.63	
W0000019-1	2003-06-18	C106185-0001	MOE	3.0	
W0000019-1	2006-09-22	O42147	Maxxam Analytics Inc 		
W0000019-1	2007-09-25	U87166	Maxxam Analytics Inc 		
W0000019-1	2008-05-08	Y53632	Maxxam Analytics Inc 	0.89	
W0000019-1	2008-09-29	C163251-0001	MOE	17.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000019-1	2009-09-30	C171559-0001	MOE	2.2	
W0000019-1	2010-10-12	C180659-0002	MOE	5.0	
W0000019-1	2011-09-29	C188980-0001	MOE		Ionic balance > 5%, use with caution; Calcium suspect
W0000019-1	2012-10-01	C197714-0001	MOE	0.16	
W0000019-1	2013-10-21	C207179-0001	MOE	3.7	
W0000019-1	2013-10-21	C207180-0001	MOE	2.0	
W0000019-1	2014-09-29	C214987-0001	MOE	8.2	
W0000019-1	2015-10-05	C223979-0001	MOE	4.9	
W0000021-1	2003-01-04	C103621-0001	MOE	8.3	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000021-1	2004-10-13	40691	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Anions missing; METALS suspect;
W0000021-1	2005-01-07	45243	ENTECH, A Division of Agri-Service Lab Inc.		Incomplete General Chemistry - Chloride missing; Sulphate missing; Iron suspect;
W0000021-1	2009-10-21	C172215-0001	MOE	12.0	Ionic balance > 5%, use with caution;
W0000021-1	2010-11-09	C181508-0001	MOE	13.0	Ionic balance > 5%, use with caution;
W0000021-1	2011-10-21	C189669-0001	MOE	0.54	
W0000021-1	2012-11-07	C198801-0002	MOE	10.0	Ionic balance > 5%, use with caution;
W0000021-1	2015-10-09	C224187-0001	MOE	13.0	Ionic balance > 5%, use with caution;
W0000022-1	2003-07-10	C106867-0002	MOE	6.0	
W0000022-1	2007-06-12	S89244	Maxxam Analytics Inc 	3.45	
W0000022-1	2008-10-06	C163425-0001	MOE	1.0	
W0000022-1	2009-10-20	C172191-0001	MOE	1.1	
W0000022-1	2010-10-12	C180657-0002	MOE	1.0	
W0000022-1	2011-09-26	C188857-0001	MOE		
W0000022-1	2012-09-24	C197520-0002	MOE	25.0	Ionic balance > 10%, use with caution; Calcium suspect
W0000022-1	2013-10-08	C206834-0001	MOE	1.2	
W0000022-1	2014-09-22	C214757-0001	MOE	1.3	
W0000022-1	2015-09-15	C223248-0001	MOE	3.9	
W0000023-1	2003-07-31	C107684-0002	MOE	 [ NDID  ] 	Use with caution - Inconsistent with other results
W0000023-1	2007-05-11	S39486	Maxxam Analytics Inc 	1.37 	 
W0000023-1	2008-12-15	C165185-0001	MOE	2.8 	Use with caution - Inconsistent with other results; Sodium, Alkalinity suspect
W0000023-1	2010-03-17	C175264-0001	MOE	2.4 	
W0000023-1	2010-09-20	C180039-0001	MOE	1.4 	
W0000023-1	2011-10-12	C189280-0001	MOE	2.1	
W0000023-1	2013-10-15	C207003-0001	MOE	3	
W0000023-1	2014-10-27	C215944-0001	MOE		
W0000023-1	2015-09-14	C223249-0001	MOE	4.4	
W0000024-2	2003-11-04	C110922-0001	MOE	14.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000024-2	2008-10-09	C163578-0001	MOE	12.0	Ionic balance > 5%, use with caution; Alkalinity suspect
W0000024-2	2009-10-01	C171619-0002	MOE	2.1	
W0000024-2	2010-10-13	C180717-0001	MOE	9.7	
W0000024-2	2011-10-25	C189768-0003	MOE	12.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000024-2	2012-10-01	C197660-0002	MOE	19.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000024-2	2013-09-23	C206259-0001	MOE	1.5	
W0000024-2	2014-09-23	C214830-0001	MOE	1.3	
W0000024-2	2015-09-28	C223707-0001	MOE	22.0	Ionic balance > 10%, use with caution; Alkalinity suspect; Sulphate inconsistent with other results; 
W0000024-4	2002-08-29	C97601-0001	MOE	4.0	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000024-4	2003-07-08	C106780-0001	MOE	3.2	
W0000024-4	2007-06-12	S89245	Maxxam Analytics Inc 	0.67	
W0000024-4	2008-10-09	C163578-0002	MOE	3.9	
W0000024-4	2009-10-01	C171619-0003	MOE	0.74	
W0000024-4	2010-10-13	C180717-0002	MOE	4.5	
W0000024-4	2011-11-08	C190215-0004	MOE	5.2	
W0000024-4	2012-10-01	C197660-0001	MOE	7.1	
W0000024-4	2013-09-23	C206259-0002	MOE	1.0	
W0000024-4	2014-09-23	C214830-0002	MOE	0.51	
W0000024-4	2015-09-28	C223705-0001	MOE	6.5	
W0000025-1	2002-08-16	C97099-0001	MOE	2 	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000025-1	2007-04-17	R90604	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution;
W0000025-1	2007-09-05	U51105	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution;
W0000025-1	2008-05-21	Y78793	Maxxam Analytics Inc 		
W0000025-1	2008-10-07	C163526-0001	MOE	1.1 	
W0000025-1	2009-10-08	C171807-0001	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing; Sodium suspect
W0000025-1	2010-10-05	C180545-0001	MOE	140 	Ionic balance > 40%, use with caution; Chloride suspect
W0000025-1	2011-10-05	C189186-0002	MOE		
W0000025-1	2012-10-18	C198227-0001	MOE	3.5	
W0000025-1	2013-11-26	C208310-0001	MOE	5.4	
W0000025-1	2014-11-13	C216404-0001	MOE	5.6	
W0000025-1	2015-10-27	C224861-0001	MOE	5.6	
W0000026-1	2002-08-22	C97305-0001	MOE	6.2	Incomplete General Chemistry - Alkalinity/Nutrients missing; Chloride and sodium are inconsistent with other results
W0000026-1	2006-09-25	O46639	Maxxam Analytics Inc 		
W0000026-1	2007-09-19	U75951	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution;
W0000026-1	2008-05-12	Y58202	Maxxam Analytics Inc 	0.12	Use with caution - Calcium, Alkalinity Inconsistent with other results
W0000026-1	2008-09-25	C163204-0001	MOE	11.0	Use with caution - Calcium suspect
W0000026-1	2009-09-29	C171499-0001	MOE	0.68	
W0000026-1	2010-09-27	C180279-0001	MOE	0.17	
W0000026-1	2011-09-28	C188954-0001	MOE		Ionic balance > 5%, use with caution;
W0000026-1	2012-10-02	C197756-0001	MOE	1.9	
W0000026-1	2013-10-08	C206835-0001	MOE	3.6	
W0000026-1	2014-10-06	C215224-0001	MOE	1.3	
W0000026-1	2015-10-08	C224150-0001	MOE	2.6	Use with caution - Inconsistent with other results
W0000026-1	2015-11-02	C225183-0001	MOE	3.5	Use with caution - Inconsistent with other results
W0000027-1	2003-09-15	C109141-0001	MOE	2.2	
W0000027-1	2006-09-18	O36445	Maxxam Analytics Inc 		
W0000027-1	2007-11-20	V98526	Maxxam Analytics Inc 	4.53	Ionic balance > 5%, use with caution; Calcium suspect
W0000027-1	2008-10-21	C163905-0002	MOE	15.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000027-1	2009-10-30	C172559-0001	MOE	2.7	
W0000027-1	2010-11-16	C181713-0001	MOE	7.8	
W0000027-1	2011-10-31	C190004-0003	MOE	1.2	
W0000027-1	2012-11-06	C198825-0003	MOE	10.0	
W0000027-1	2013-10-09	C206891-0007	MOE	7.4	
W0000027-1	2014-11-13	C216401-0001	MOE	8.9	
W0000027-1	2015-10-14	C224381-0001	MOE	1.6	
W0000028-2	2006-09-21	O40378	Maxxam Analytics Inc 		
W0000028-2	2008-05-07	Y50957	Maxxam Analytics Inc 	2.89 	 
W0000028-2	2008-09-24	C163206-0001	MOE	11 	Ionic balance > 5%, use with caution; Alkalinity suspect
W0000028-2	2010-10-13	C180713-0001	MOE	 [ NDID  ] 	Incomplete General Chemistry - Chloride missing
W0000028-2	2011-10-04	C189097-0001	MOE		
W0000028-2	2012-09-27	C197617-0001	MOE		
W0000028-2	2013-10-01	C206566-0001	MOE	11	
W0000028-2	2014-10-02	C215135-0001	MOE	13	Ionic balance > 5%, use with caution;
W0000028-2	2015-10-01	C223887-0001	MOE		Metals only
W0000028-2	2015-10-27	C224865-0001	MOE	14	Ionic balance > 5%, use with caution;
W0000028-4	2002-10-22	C99349-0001	MOE	16.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Calcium suspect
W0000028-4	2006-09-21	O40379	Maxxam Analytics Inc 		Iron suspect
W0000028-4	2007-09-26	U90624	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution;
W0000028-4	2007-09-26	C155255-0001	MOE	2.1	
W0000028-4	2008-05-07	Y50956	Maxxam Analytics Inc 	0.4	
W0000028-4	2008-10-01	C163364-0001	MOE	12.0	Ionic balance > 5%, use with caution; Sulphate suspect
W0000028-4	2009-10-07	C171756-0001	MOE	2.1	
W0000028-4	2010-10-12	C180712-0001	MOE	2.5	
W0000028-4	2011-10-04	C189094-0001	MOE		
W0000028-4	2012-09-27	C197616-0001	MOE	4.5	
W0000028-4	2013-10-01	C206565-0001	MOE	1.8	
W0000028-4	2014-10-02	C215136-0001	MOE	3.0	
W0000028-4	2015-10-01	C223888-0001	MOE	5.2	
W0000029-1	2003-06-19	C106243-0001	MOE	9	
W0000030-1	2002-08-20	C97158-0001	MOE	0.97	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000030-1	2008-10-21	C163881-0004	MOE	15.0	Ionic balance > 5%, use with caution; Calcium, Sulphate suspect
W0000030-1	2009-10-14	C171983-0002	MOE	0.78	
W0000030-1	2010-12-08	C182220-0002	MOE	3.7	
W0000030-1	2011-10-11	C189281-0006	MOE	8.7	
W0000030-1	2012-09-27	C197606-0008	MOE	12.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000030-1	2013-10-02	C206704-0001	MOE	14.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000030-1	2014-09-16	C214649-0003	MOE	0.051	
W0000030-1	2015-12-07	C226033-0001	MOE	8.0	
W0000031-1	2003-08-06	C107933-0001	MOE	0.027000000000000003	
W0000031-1	2006-09-26	O54302	Maxxam Analytics Inc 		
W0000031-1	2007-10-29	V58844	Maxxam Analytics Inc 	0.66	
W0000031-1	2008-10-08	C163528-0001	MOE	2.0	
W0000031-1	2009-10-26	C172358-0001	MOE	1.4	
W0000031-1	2010-11-02	C181394-0001	MOE	2.7	
W0000031-1	2011-09-15	C188491-0001	MOE		
W0000031-1	2014-11-05	C216233-0001	MOE	18.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000031-1	2015-09-29	C223856-0003	MOE	6.2	
W0000032-1	2002-07-17	C96021-0001	MOE	2.1	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000032-1	2002-08-21	C97297-0001	MOE	25.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Calcium suspect
W0000032-1	2007-04-18	R90924	Maxxam Analytics Inc 		
W0000032-1	2007-09-04	U51118	Maxxam Analytics Inc 		
W0000032-1	2008-05-21	Y78791	Maxxam Analytics Inc 		
W0000032-1	2008-10-15	C163767-0002	MOE	9.0	
W0000032-1	2009-10-08	C171807-0002	MOE	5.1	
W0000032-1	2010-10-06	C180545-0004	MOE	6.7	
W0000032-1	2011-10-13	C189327-0001	MOE	0.72	
W0000032-1	2012-10-17	C198227-0002	MOE	23.0	Ionic balance > 10%, use with caution; Alkalinity suspect
W0000032-1	2013-11-18	C208099-0001	MOE	6.1	
W0000032-1	2014-10-30	C216072-0001	MOE		
W0000032-1	2015-10-20	C224580-0001	MOE	2.8	
W0000033-1	2003-07-29	C107631-0001	MOE	2.2	
W0000033-1	2006-09-19	O36446	Maxxam Analytics Inc 		Use with caution - Inconsistent with other results
W0000033-1	2007-10-31	V61346	Maxxam Analytics Inc 	3.4	Use with caution - Inconsistent with other results
W0000033-1	2008-10-29	C164131-0001	MOE	3.8	Use with caution - Inconsistent with other results; Inconsistent with duplicate
W0000033-1	2009-10-27	C172421-0001	MOE	3.2	
W0000033-1	2010-11-16	C181713-0002	MOE	0.95	
W0000033-1	2011-10-31	C190004-0002	MOE	12.0	Ionic balance > 5%, use with caution; Chloride, Sulphate suspect
W0000033-1	2012-10-16	C198163-0003	MOE	2.3	
W0000033-1	2013-10-09	C206891-0006	MOE	7.3	
W0000033-1	2014-11-13	C216401-0002	MOE	5.4	Use with caution - Inconsistent with other results;
W0000033-1	2015-10-20	C224582-0001	MOE	5.1	
W0000034-1	2003-07-24	C107475-0001	MOE	5.9	
W0000034-1	2005-10-11	C130918-0001	MOE	6.4	
W0000034-1	2006-09-19	O36444	Maxxam Analytics Inc 		
W0000034-1	2007-10-30	V58847	Maxxam Analytics Inc 	2.36	
W0000034-1	2008-10-07	C163485-0001	MOE	280.0	Ionic balance > 50%, use with caution; Cations, Anions inconsistent with other results
W0000034-1	2008-10-07	C164909-0001	MOE		Metals only
W0000034-1	2009-10-20	C172163-0001	MOE	1.4	Use with caution - Inconsistent with other results
W0000034-1	2010-11-08	C181544-0001	MOE	14.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000034-1	2011-10-25	C189710-0003	MOE	4.7	
W0000034-1	2012-11-05	C198825-0001	MOE	0.24	
W0000034-1	2013-10-08	C206891-0005	MOE	0.11	
W0000034-1	2014-10-20	C215843-0001	MOE	1.0	
W0000034-1	2015-09-30	C223856-0001	MOE	1.8	Boron suspect
W0000035-5	2003-11-06	C111046-0001	MOE	6.2	
W0000035-5	2005-10-13	C131041-0001	MOE	9.9	
W0000036-1	2002-12-12	C101048-0001	MOE	7.5	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000036-1	2003-07-14	C106992-0001	MOE	5.1	
W0000036-1	2009-02-11	C166079-0001	MOE	3.5	
W0000036-1	2009-11-10	C172832-0001	MOE	4.8	
W0000036-1	2010-09-14	C179894-0001	MOE	4.3	
W0000036-1	2011-10-31	C190006-0001	MOE	1.1	
W0000036-1	2012-09-13	C197225-0001	MOE	6.6	
W0000036-1	2013-09-24	C206344-0001	MOE	5.3	
W0000036-1	2014-10-07	C215291-0001	MOE	0.88	
W0000036-1	2015-09-30	C223851-0001	MOE	10.0	
W0000037-1	2002-12-12	C101048-0002	MOE	27.0	Incomplete General Chemistry - Alkalinity/Nutrients missing; Calcium suspect
W0000037-1	2003-07-14	C106992-0002	MOE	16.0	Ionic balance > 5%, use with caution; Calcium, Alkalinity suspect
W0000037-1	2009-02-11	C166079-0002	MOE	8.5	
W0000037-1	2009-11-17	C172952-0001	MOE	2.5	
W0000037-1	2010-09-14	C179894-0002	MOE	4.6	
W0000037-1	2011-10-31	C190006-0002	MOE	2.1	
W0000037-1	2012-09-20	C197406-0001	MOE	30.0	Ionic balance > 10%, use with caution; Calcium suspect
W0000037-1	2013-09-24	C206344-0002	MOE	2.0	
W0000037-1	2014-10-07	C215291-0002	MOE	15.0	Ionic balance > 5%, use with caution; Calcium, Alkalinity suspect
W0000037-1	2015-09-30	C223850-0001	MOE	50.0	Ionic balance > 15%, use with caution; Calcium suspect
W0000038-1	2002-10-25	C99468-0001	MOE	0.02	Incomplete General Chemistry - Alkalinity/Nutrients missing
W0000038-1	2006-09-21	O40380	Maxxam Analytics Inc 		
W0000038-1	2007-09-26	U90625	Maxxam Analytics Inc 		Ionic balance > 5%, use with caution;
W0000038-1	2008-05-08	Y53631	Maxxam Analytics Inc 	3.96	
W0000038-1	2008-10-01	C163365-0001	MOE	2.2	
W0000038-1	2009-10-08	C171808-0001	MOE	3.0	
W0000038-1	2010-10-12	C180658-0001	MOE	0.083	
W0000038-1	2011-10-03	C189052-0001	MOE		
W0000038-1	2012-09-24	C197522-0001	MOE	12.0	Ionic balance > 5%, use with caution; Calcium suspect
W0000038-1	2013-10-10	C206937-0001	MOE	0.4	
W0000038-1	2014-09-23	C214825-0001	MOE	1.5	
